,CustomerID,DaysSinceLastOrder,CustomerTenure,AvgOrderValue,TotalRevenue,OrderFrequency,LeastRecentOrderDate,MostRecentOrderDate,TotalProductSubCategories,MostPurchasedCategory,AvgDaysBetweenOrders,RecencyRatio,OneTimeBuyer,ChurnLabel
0,11000,270,1105,2749.663333,8248.99,3,2011-06-21,2013-10-03,6,Bikes,417.0,0.647482014388,0,1
1,11001,49,1109,2127.96,6383.88,3,2011-06-17,2014-05-12,7,Bikes,530.0,0.092452830188,0,0
2,11002,339,1117,2704.68,8114.04,3,2011-06-09,2013-07-26,3,Bikes,389.0,0.871465295629,0,1
3,11003,263,1126,2713.096666,8139.29,3,2011-05-31,2013-10-10,5,Bikes,431.0,0.610208816705,0,1
4,11004,272,1101,2732.003333,8196.01,3,2011-06-25,2013-10-01,4,Bikes,414.0,0.657004830917,0,1
5,11005,271,1125,2707.11,8121.33,3,2011-06-01,2013-10-02,3,Bikes,427.0,0.634660421545,0,1
6,11006,259,1100,2706.343333,8119.03,3,2011-06-26,2013-10-14,3,Bikes,420.0,0.616666666666,0,1
7,11007,315,1115,2737.0,8211.0,3,2011-06-11,2013-08-19,5,Bikes,400.0,0.7875,0,1
8,11008,332,1099,2702.103333,8106.31,3,2011-06-27,2013-08-02,5,Bikes,383.0,0.86684073107,0,1
9,11009,264,1097,2697.11,8091.33,3,2011-06-29,2013-10-09,4,Bikes,416.0,0.634615384615,0,1
10,11010,250,1110,2696.013333,8088.04,3,2011-06-16,2013-10-23,3,Bikes,430.0,0.581395348837,0,1
11,11011,315,1125,2711.013333,8133.04,3,2011-06-01,2013-08-19,3,Bikes,405.0,0.777777777777,0,1
12,11012,105,318,40.63,81.26,2,2013-08-16,2014-03-17,2,Accessories,213.0,0.492957746478,0,0
13,11013,7,290,56.98,113.96,2,2013-09-13,2014-06-23,2,Accessories,283.0,0.024734982332,0,0
14,11014,273,311,69.225,138.45,2,2013-08-23,2013-09-30,3,Accessories,38.0,7.184210526315,0,1
15,11015,375,375,2500.97,2500.97,1,2013-06-20,2013-06-20,3,Accessories,,,1,1
16,11016,353,353,2332.28,2332.28,1,2013-07-12,2013-07-12,2,Bikes,,,1,1
17,11017,106,1112,2144.77,6434.31,3,2011-06-14,2014-03-16,3,Bikes,503.0,0.210735586481,0,0
18,11018,96,1107,2177.76,6533.28,3,2011-06-19,2014-03-26,5,Bikes,505.0,0.1900990099,0,0
19,11019,16,350,51.923529,882.7,17,2013-07-15,2014-06-14,8,Accessories,20.0,0.8,0,0
20,11020,395,395,2316.97,2316.97,1,2013-05-31,2013-05-31,2,Accessories,,,1,1
21,11021,370,370,2371.96,2371.96,1,2013-06-25,2013-06-25,3,Bikes,,,1,1
22,11022,373,373,2322.28,2322.28,1,2013-06-22,2013-06-22,2,Accessories,,,1,1
23,11023,14,345,61.12,122.24,2,2013-07-20,2014-06-16,3,Accessories,331.0,0.042296072507,0,0
24,11024,186,215,28.255,56.51,2,2013-11-27,2013-12-26,2,Accessories,29.0,6.413793103448,0,1
25,11025,95,1118,2192.266666,6576.8,3,2011-06-08,2014-03-27,5,Bikes,511.0,0.18590998043,0,0
26,11026,105,1101,2191.93,6575.79,3,2011-06-25,2014-03-17,5,Bikes,498.0,0.210843373493,0,0
27,11027,96,1108,2197.19,6591.57,3,2011-06-18,2014-03-26,6,Bikes,506.0,0.189723320158,0,0
28,11028,113,1098,2158.206666,6474.62,3,2011-06-28,2014-03-09,3,Bikes,492.0,0.229674796747,0,0
29,11029,78,1105,2188.43,6565.29,3,2011-06-21,2014-04-13,5,Bikes,513.0,0.152046783625,0,0
30,11030,80,1088,2157.106666,6471.32,3,2011-07-08,2014-04-11,3,Bikes,504.0,0.15873015873,0,0
31,11031,76,1092,2159.533333,6478.6,3,2011-07-04,2014-04-15,4,Bikes,508.0,0.149606299212,0,0
32,11032,81,1075,2175.186666,6525.56,3,2011-07-21,2014-04-10,6,Bikes,497.0,0.162977867203,0,0
33,11033,84,1078,2165.096666,6495.29,3,2011-07-18,2014-04-07,5,Bikes,497.0,0.169014084507,0,0
34,11034,79,1092,2163.773333,6491.32,3,2011-07-04,2014-04-12,3,Bikes,506.0,0.156126482213,0,0
35,11035,74,1087,2150.436666,6451.31,3,2011-07-09,2014-04-17,3,Bikes,506.0,0.146245059288,0,0
36,11036,371,371,2354.98,2354.98,1,2013-06-24,2013-06-24,2,Accessories,,,1,1
37,11037,373,373,2374.23,2374.23,1,2013-06-22,2013-06-22,4,Bikes,,,1,1
38,11038,77,1086,2145.776666,6437.33,3,2011-07-10,2014-04-14,2,Bikes,504.0,0.152777777777,0,0
39,11039,78,1086,2212.193333,6636.58,3,2011-07-10,2014-04-13,5,Bikes,504.0,0.154761904761,0,0
40,11040,300,300,2350.96,2350.96,1,2013-09-03,2013-09-03,3,Clothing,,,1,1
41,11041,379,379,2380.47,2380.47,1,2013-06-16,2013-06-16,3,Bikes,,,1,1
42,11042,103,372,1556.165,3112.33,2,2013-06-23,2014-03-19,3,Bikes,269.0,0.382899628252,0,0
43,11043,163,265,23.99,47.98,2,2013-10-08,2014-01-18,2,Accessories,102.0,1.598039215686,0,0
44,11044,81,1065,2171.766666,6515.3,3,2011-07-31,2014-04-10,5,Bikes,492.0,0.164634146341,0,0
45,11045,91,293,57.48,114.96,2,2013-09-10,2014-03-31,3,Clothing,202.0,0.450495049504,0,0
46,11046,77,1087,2205.603333,6616.81,3,2011-07-09,2014-04-14,5,Bikes,505.0,0.152475247524,0,0
47,11047,70,1090,2194.11,6582.33,3,2011-07-06,2014-04-21,3,Bikes,510.0,0.13725490196,0,0
48,11048,34,1083,2166.08,6498.24,3,2011-07-13,2014-05-27,6,Bikes,524.0,0.064885496183,0,0
49,11049,91,325,40.63,81.26,2,2013-08-09,2014-03-31,2,Accessories,234.0,0.388888888888,0,0
50,11050,70,1073,1669.1,5007.3,3,2011-07-23,2014-04-21,5,Bikes,501.0,0.139720558882,0,0
51,11051,27,30,61.975,123.95,2,2014-05-31,2014-06-03,4,Clothing,3.0,9.0,0,0
52,11052,246,1076,2710.44,8131.32,3,2011-07-20,2013-10-27,4,Bikes,415.0,0.592771084337,0,1
53,11053,376,376,2329.98,2329.98,1,2013-06-19,2013-06-19,2,Accessories,,,1,1
54,11054,243,1090,2741.006666,8223.02,3,2011-07-06,2013-10-30,5,Bikes,423.0,0.574468085106,0,1
55,11055,235,1093,2722.67,8168.01,3,2011-07-03,2013-11-07,5,Bikes,429.0,0.547785547785,0,1
56,11056,242,1067,2735.833333,8207.5,3,2011-07-29,2013-10-31,6,Bikes,412.0,0.587378640776,0,1
57,11057,252,1071,2696.013333,8088.04,3,2011-07-25,2013-10-21,3,Bikes,409.0,0.616136919315,0,1
58,11058,238,1056,2749.34,8248.02,3,2011-08-09,2013-11-04,5,Bikes,409.0,0.581907090464,0,1
59,11059,318,344,38.976666,116.93,3,2013-07-21,2013-08-16,4,Accessories,13.0,24.461538461538,0,1
60,11060,217,1046,2717.673333,8153.02,3,2011-08-19,2013-11-25,4,Bikes,414.0,0.524154589371,0,1
61,11061,228,1052,2709.673333,8129.02,3,2011-08-13,2013-11-14,4,Bikes,412.0,0.553398058252,0,1
62,11062,386,386,2351.96,2351.96,1,2013-06-09,2013-06-09,3,Accessories,,,1,1
63,11063,381,381,2372.95,2372.95,1,2013-06-14,2013-06-14,4,Bikes,,,1,1
64,11064,368,368,2304.98,2304.98,1,2013-06-27,2013-06-27,2,Accessories,,,1,1
65,11065,18,352,101.285,202.57,2,2013-07-13,2014-06-12,2,Accessories,334.0,0.053892215568,0,0
66,11066,131,242,40.63,81.26,2,2013-10-31,2014-02-19,2,Accessories,111.0,1.18018018018,0,0
67,11067,16,163,52.875,105.75,2,2014-01-18,2014-06-14,3,Accessories,147.0,0.108843537414,0,0
68,11068,112,273,37.786666,113.36,3,2013-09-30,2014-03-10,5,Accessories,80.0,1.4,0,0
