CustomerTenure,TotalRevenue,OrderFrequency,TotalProductSubCategories,MostPurchasedCategory,AvgDaysBetweenOrders,RecencyRatio,ChurnLabel
1105,9.01796726720678,1.3862943611198906,6,1,417.0,0.499248070423251,1
1109,8.761687974241479,1.3862943611198906,7,1,530.0,0.08842547102620597,0
1117,9.001474409080105,1.3862943611198906,3,1,389.0,0.6267217045778014,1
1126,9.004581084897602,1.3862943611198906,5,1,431.0,0.47636387040284783,1
1101,9.011524732610807,1.3862943611198906,4,1,414.0,0.5050116539000431,1
1125,9.002372337807456,1.3862943611198906,3,1,427.0,0.49143508953333964,1
1100,9.00208912773018,1.3862943611198906,3,1,420.0,0.4803664162808698,1
1115,9.013351778138825,1.3862943611198906,5,1,400.0,0.5808179955860256,1
1099,9.000521402815902,1.3862943611198906,5,1,383.0,0.624247553513096,1
1097,8.998671978474402,1.3862943611198906,4,1,416.0,0.4914075379086538,1
1110,8.998265337992745,1.3862943611198906,3,1,430.0,0.45830758948241185,1
1125,9.003813004084781,1.3862943611198906,3,1,405.0,0.5753641449031243,1
318,4.409884962802278,1.0986122886681098,2,0,213.0,0.4007592170701668,0
290,4.744584241770769,1.0986122886681098,2,0,283.0,0.024434025337130363,0
311,4.937706114073498,1.0986122886681098,3,0,38.0,2.102206752452752,1
375,7.824833700547297,0.6931471805599453,3,0,0.0,5.8289456176102075,1
353,7.755030281965255,0.6931471805599453,2,1,0.0,5.8289456176102075,1
1112,8.769555292918069,1.3862943611198906,3,1,503.0,0.1912280976100642,0
1107,8.784817444012987,1.3862943611198906,5,1,505.0,0.17403650525901582,0
350,6.784117638523959,2.8903717578961645,8,0,20.0,0.5877866649021191,0
395,7.748447081624402,0.6931471805599453,2,0,0.0,5.8289456176102075,1
370,7.771893399993653,0.6931471805599453,3,1,0.0,5.8289456176102075,1
373,7.750735259299305,0.6931471805599453,2,0,0.0,5.8289456176102075,1
345,4.814133673728467,1.0986122886681098,3,0,331.0,0.04142604165376642,0
215,4.051958845725663,1.0986122886681098,2,0,29.0,2.0033421981411514,1
1118,8.791455621908549,1.3862943611198906,5,1,511.0,0.17051039586516448,0
1101,8.791302063340478,1.3862943611198906,5,1,498.0,0.19131711970172655,0
1108,8.793698536297729,1.3862943611198906,6,1,506.0,0.17372077602126912,0
1098,8.775799634879476,1.3862943611198906,3,1,492.0,0.20674974153774658,0
1105,8.789704264006708,1.3862943611198906,5,1,513.0,0.14154017223469414,0
1088,8.775289901273752,1.3862943611198906,3,1,504.0,0.14732471475672143,0
1092,8.776414059045983,1.3862943611198906,4,1,508.0,0.13941953524922462,0
1075,8.783635284075485,1.3862943611198906,6,1,497.0,0.15098384257556016,0
1078,8.778986523702194,1.3862943611198906,5,1,497.0,0.15616073075524636,0
1092,8.778375218855311,1.3862943611198906,3,1,506.0,0.14507517794401145,0
1087,8.772193485208046,1.3862943611198906,3,1,506.0,0.1364914342525305,0
371,7.764712055771099,0.6931471805599453,2,0,0.0,5.8289456176102075,1
373,7.772849553885111,0.6931471805599453,4,1,0.0,5.8289456176102075,1
1086,8.770024468699805,1.3862943611198906,2,1,504.0,0.1421744887798679,0
1086,8.800502718208257,1.3862943611198906,5,1,504.0,0.1438941796592857,0
300,7.763004302071179,0.6931471805599453,3,2,0.0,5.8289456176102075,1
379,7.7754732230589045,0.6931471805599453,3,1,0.0,5.8289456176102075,1
372,8.043448171890393,1.0986122886681098,3,1,269.0,0.3241824746707376,0
265,3.891412051524022,1.0986122886681098,2,0,102.0,0.9547570127018454,0
1065,8.782062009177757,1.3862943611198906,5,1,492.0,0.15240700022203355,0
293,4.753245304053455,1.0986122886681098,3,2,202.0,0.3719049116152073,0
1087,8.797519778489496,1.3862943611198906,5,1,505.0,0.14191201845542506,0
